"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000229164",-3.51835205535331,6.42709246991577,165.909021156145,5.79081273495758e-38,"down",3.51835205535331,"NA","9.47e-34"
"ENSG00000211772",-2.70797280644702,7.33526984735328,154.721583095329,1.61078195739399e-35,"down",2.70797280644702,"TRBC2","1.31e-31"
"ENSG00000126353",-4.95074300105833,4.27253756760277,153.921744093134,2.40896736476968e-35,"down",4.95074300105833,"CCR7","1.31e-31"
"ENSG00000168028",-1.77792519611226,8.28786487561237,142.887551414432,6.22038582322587e-33,"down",1.77792519611226,"RPSA","2.54e-29"
"ENSG00000163682",-2.03410102619714,9.58726028543002,136.532204364164,1.52618218876614e-31,"down",2.03410102619714,"RPL9","4.99e-28"
"ENSG00000035403",2.08726086353488,12.2939789875618,134.8123496615,3.6289554415705e-31,"up",2.08726086353488,"VCL","9.89e-28"
"ENSG00000162894",-4.59525183601456,3.82390742487529,132.552502663122,1.13271088949025e-30,"down",4.59525183601456,"FCMR","2.43e-27"
"ENSG00000115523",-2.78827333101991,7.98584038963563,132.274712400399,1.30283489835003e-30,"down",2.78827333101991,"GNLY","2.43e-27"
"ENSG00000168685",-3.54493707451435,6.30342587172627,132.220128895518,1.33915349401343e-30,"down",3.54493707451435,"IL7R","2.43e-27"
"ENSG00000116754",-2.15612872474824,6.77124908954441,131.109832003894,2.34278593601842e-30,"down",2.15612872474824,"SRSF11","3.83e-27"
"ENSG00000168421",-3.88262083659581,3.41815595152429,129.315994882785,5.78371146749334e-30,"down",3.88262083659581,"RHOH","8.60e-27"
"ENSG00000142541",-1.66117120519144,10.3960922504955,125.836031471045,3.33968308517937e-29,"down",1.66117120519144,"RPL13A","4.55e-26"
"ENSG00000142676",-1.9027371872993,8.97943202133928,124.736379905247,5.81257033437686e-29,"down",1.9027371872993,"RPL11","7.31e-26"
"ENSG00000227507",-3.9699538023535,3.25241061606399,122.752884342312,1.57944829458175e-28,"down",3.9699538023535,"LTB","1.84e-25"
